years,TMAX,TMIN,t90,t95,t100
1947,39.4179104477612,28.98507462686567,0,0,0
1948,55.57103825136612,35.434426229508205,3,0,0
1949,57.34840182648402,35.1511415525114,16,2,0
1950,55.82648401826482,35.941095890410935,12,2,0
1951,56.58082191780816,36.631963470319626,14,2,0
1952,58.51183970856097,37.518670309653906,17,4,0
1953,59.48926940639271,39.374657534246566,12,3,0
1954,57.715981735159815,37.67922374429224,4,0,0
1955,55.26506849315069,35.836757990867575,19,8,0
1956,57.54189435336976,38.387067395264104,17,6,0
1957,57.24018264840185,38.35296803652968,6,0,0
1958,61.09315068493154,41.794063926940616,39,7,0
1959,56.53881278538814,37.66347031963471,17,6,2
1960,57.56238615664846,37.164389799635714,21,10,1
1961,58.72511415525111,38.62146118721461,31,13,3
1962,57.26301369863014,38.12283105022833,15,3,0
1963,58.38127853881281,38.84657534246575,15,0,0
1964,56.09244080145721,36.82559198542806,8,1,0
1965,58.50136986301371,38.65753424657535,17,3,0
1966,59.7730593607306,39.673059360730576,12,2,0
1967,60.17214611872146,39.989497716894995,32,13,5
1968,58.26183970856104,38.66120218579233,17,7,3
1969,57.345662100456636,37.38767123287672,17,1,0
1970,58.72146118721464,38.780821917808204,34,10,1
1971,58.01506849315069,38.450684931506856,29,15,4
1972,57.27322404371585,37.05464480874317,15,7,2
1973,58.06027397260274,38.08767123287672,25,14,0
1974,57.423287671232885,37.317808219178076,15,1,0
1975,54.965753424657535,36.56712328767123,12,6,1
1976,58.45218579234973,37.75819672131148,10,0,0
1977,58.04246575342465,37.76575342465753,20,9,0
1978,56.36712328767122,37.15890410958904,19,1,0
1979,58.332876712328776,37.215068493150675,17,5,2
1980,57.61338797814208,38.70491803278689,9,1,1
1981,59.06849315068493,38.91095890410959,21,6,0
1982,56.841095890410955,37.94109589041096,9,1,0
1983,57.76438356164383,39.36438356164384,10,1,0
1984,56.19125683060109,36.385245901639344,12,2,1
1985,54.23013698630137,33.46575342465753,18,6,0
1986,57.884931506849306,37.67671232876712,16,4,0
1987,59.75342465753425,37.915068493150685,13,2,0
1988,58.653005464480884,37.53825136612022,15,8,0
1989,57.098630136986294,37.005479452054786,7,1,0
1990,58.42465753424658,37.84931506849315,17,4,0
1991,57.994520547945214,36.994520547945214,13,0,0
1992,60.098360655737714,38.765027322404364,23,10,2
1993,55.534246575342465,35.32328767123288,1,0,0
1994,59.60821917808219,38.65753424657535,24,11,2
1995,58.05205479452055,38.02465753424657,5,0,0
1996,55.78142076502732,34.438524590163944,18,5,0
1997,57.528767123287665,36.56712328767123,11,4,0
1998,60.31552511415526,38.638356164383566,34,11,2
1999,59.326027397260255,37.46757990867583,16,6,0
2000,57.082422586520956,36.01183970856104,14,3,0
2001,58.67488584474886,36.7406392694064,18,8,0
2002,58.44931506849318,36.802739726027404,14,6,3
2003,60.09863013698627,38.22922374429223,35,12,2
2004,59.06466302367937,38.80510018214935,25,7,0
2005,58.203652968036565,37.23105022831052,16,3,0
2006,59.5200913242009,38.32100456621004,28,6,2
2007,58.55433789954336,37.61917808219176,22,9,2
2008,57.04280510018219,35.743169398907106,17,7,1
2009,57.22420091324202,36.78264840182647,25,3,1
2010,57.88721461187211,38.305022831050245,9,1,0
2011,56.897716894977144,36.32511415525118,13,0,0
2012,59.052367941712205,38.450364298724935,21,6,0
2013,58.46666666666663,37.55707762557076,26,4,0
2014,59.72237442922372,38.852054794520605,25,11,0
2015,62.294977168949785,40.411872146118725,31,16,4
2016,60.20810564663022,39.80692167577413,23,3,0
2017,58.278995433789966,37.73242009132417,35,7,0
2018,59.653881278538826,38.951598173516004,24,8,2
2019,57.29599271402548,37.25409836065573,11,4,0
