years,TMAX,TMIN,t90,t95,t100
1947,43.35820895522389,30.33582089552239,0,0,0
1948,60.087204007285976,41.311703096539155,9,1,0
1949,62.647031963470326,44.06347031963468,16,0,0
1950,58.838356164383505,41.1109589041096,0,0,0
1951,59.545205479452065,41.733789954337894,2,0,0
1952,61.145719489981744,43.119763205828804,23,8,0
1953,62.44155251141554,44.399543378995425,21,7,0
1954,60.72465753424658,44.228767123287675,13,2,0
1955,61.77671232876714,43.102739726027394,32,6,0
1956,59.44125683060109,42.919398907103826,4,0,0
1957,59.01917808219178,43.286301369863004,8,0,0
1958,57.87671232876714,41.18356164383562,2,0,0
1959,60.84931506849315,42.947945205479456,20,0,0
1960,57.366120218579226,38.82513661202186,0,0,0
1961,58.93972602739726,40.46575342465753,4,0,0
1962,58.44383561643836,39.8054794520548,10,0,0
1963,57.17260273972602,37.942465753424656,6,0,0
1964,58.89071038251365,40.904371584699454,8,0,0
1965,58.98082191780822,40.983561643835614,4,1,0
1966,57.605479452054794,39.536986301369865,6,1,0
1967,58.57260273972603,41.0958904109589,4,0,0
1968,57.59562841530055,39.734972677595636,5,0,0
1969,57.3041095890411,40.8986301369863,4,0,0
1970,58.509589041095886,41.42191780821918,2,0,0
1971,59.309132420091295,40.722831050228294,4,0,0
1972,57.59380692167578,40.54189435336978,3,0,0
1973,61.68447488584477,44.662100456620976,12,0,0
1974,59.79999999999996,41.62876712328767,3,0,0
1975,60.08904109589043,42.5013698630137,3,0,0
1976,58.928961748633874,39.090163934426215,0,0,0
1977,59.62694063926939,40.60502283105023,4,0,0
1978,59.082648401826496,39.84383561643836,13,1,0
1979,58.43013698630136,40.249315068493146,2,0,0
1980,56.83333333333334,39.213114754098356,7,1,0
1981,57.8054794520548,40.44931506849315,2,0,0
1982,59.69315068493151,40.77534246575343,5,0,0
1983,59.74794520547945,42.32328767123288,15,1,0
1984,57.77049180327869,40.20491803278689,0,0,0
1985,58.48493150684931,40.39726027397261,2,0,0
1986,59.49589041095891,42.21643835616438,6,0,0
1987,60.26027397260274,42.74246575342465,8,0,0
1988,59.81420765027322,40.55464480874317,30,12,1
1989,58.49315068493151,40.52054794520548,5,1,0
1990,61.13698630136986,43.08219178082192,2,1,0
1991,61.92054794520548,43.92054794520548,16,1,0
1992,58.26775956284153,41.27595628415301,1,0,0
1993,58.73424657534247,41.51780821917808,7,1,0
1994,59.87397260273973,40.76438356164383,8,0,0
1995,59.98904109589043,42.254794520547954,18,2,0
1996,57.153005464480884,40.67486338797814,0,0,0
1997,57.602739726027394,41.07945205479452,1,0,0
1998,61.39452054794521,46.7013698630137,5,0,0
1999,60.47945205479452,44.35616438356164,9,2,0
2000,58.26229508196721,42.978142076502735,0,0,0
2001,59.67123287671233,44.832876712328776,5,0,0
2002,60.20821917808219,44.905479452054784,10,0,0
2003,57.82876712328767,42.605479452054794,2,0,0
2004,60.35792349726776,44.883879781420774,4,0,0
2005,60.034246575342465,44.73698630136986,16,1,0
2006,60.22328767123288,45.71643835616438,4,0,0
2007,60.183561643835624,44.72328767123288,12,1,0
2008,59.105191256830594,43.43852459016394,9,0,0
2009,59.11917808219178,43.83150684931507,5,0,0
2010,60.20958904109589,45.56986301369864,15,1,0
2011,59.889041095890406,45.332876712328776,10,1,0
2012,62.456284153005456,46.669398907103826,13,1,0
2013,58.705479452054796,43.454794520547935,7,1,0
2014,57.01917808219178,41.728767123287675,2,0,0
2015,59.7958904109589,43.749315068493146,3,0,0
2016,62.55327868852459,46.680327868852466,20,0,0
2017,62.07123287671233,46.26164383561644,3,0,0
2018,59.634246575342466,45.48904109589043,11,0,0
2019,60.80464480874317,45.282786885245905,12,0,0
