years,TMAX,TMIN,t90,t95,t100
1947,68.03259054378456,43.2166962390843,0,0,0
1948,71.92854668100568,48.71266383889329,3,0,0
1949,72.80886497064573,49.24015655577302,15,2,0
1950,73.86157860404434,49.50397912589693,4,2,0
1951,73.04750689949319,49.95243890812382,12,0,0
1952,73.24821945171506,49.66546461480768,19,1,0
1953,74.756834542036,49.15766988987377,15,2,0
1954,74.16791364491004,50.512344883158704,10,0,0
1955,72.58524181121622,49.6441268360264,14,9,3
1956,73.94374940082444,49.58770050058176,14,2,0
1957,73.21109909476888,51.51542087827678,10,2,0
1958,75.66327146095165,51.594603484268035,10,4,1
1959,75.49916442832847,53.1054922105829,7,2,0
1960,73.97520357869925,51.207456069859674,12,1,0
1961,73.73233772047631,51.08701204225986,6,3,1
1962,72.27171009042885,49.91803764884956,3,0,0
1963,74.2483662369057,51.324103545527834,11,7,3
1964,72.88714998749964,49.98120647165968,6,0,0
1965,72.8352205470027,50.57340736342603,17,4,0
1966,74.0224062489692,51.33950840201497,5,0,0
1967,73.37835414987912,51.51627383830245,10,0,0
1968,74.20981039501416,50.99859414621951,15,1,0
1969,72.70636807234307,52.18050675978152,5,1,0
1970,73.62480681962761,51.66113758240614,8,0,0
1971,72.19300813476073,49.95257655116839,18,3,1
1972,73.44543947360364,51.571113541044845,9,4,0
1973,71.87744771881356,50.563124496373895,7,2,0
1974,73.64522920583758,51.24696861849764,5,0,0
1975,72.10565919061688,49.43902638681043,4,2,0
1976,74.92868138147786,51.83381753429966,15,3,0
1977,75.0780526457158,51.75765693948815,11,1,0
1978,74.50554142204831,52.60935603008328,19,7,2
1979,74.95499238964996,51.39092785516032,29,13,1
1980,75.66866381271134,52.33414049326951,15,4,0
1981,76.16679699517395,53.4733492019735,16,7,1
1982,74.2504071419483,52.22982450249989,21,6,2
1983,74.95147276262107,53.394432805085536,29,5,0
1984,76.40637405760963,53.35924608914606,28,8,2
1985,74.94498055597373,51.663478724471815,30,10,4
1986,75.68294809072206,52.312555070500316,6,2,0
1987,74.14258429926241,51.67739215122781,14,3,2
1988,75.32173257070797,51.897031742499415,10,5,3
1989,75.76057081315135,52.19300348590436,14,5,1
1990,75.54896748899773,52.9619358871051,18,5,2
1991,74.26482433092023,52.39578098841794,8,4,0
1992,76.52442315198469,54.6499174322945,28,8,0
1993,75.09811187670779,53.66967602032671,4,0,0
1994,74.9312367313052,52.6042089417432,20,6,0
1995,75.82509308043556,53.602486953685606,25,4,0
1996,76.60263171482434,53.27519653615967,23,1,0
1997,76.60026956725784,53.30155940352961,31,4,0
1998,72.93503860207869,50.7586371919592,21,5,1
1999,74.54855742465213,49.38230413025581,17,4,0
2000,75.95827836191516,51.12992509365939,17,3,0
2001,73.52342094407058,51.036999743931815,4,0,0
2002,73.56621724737063,50.50398871504208,5,3,0
2003,74.78698322538129,52.30902387124392,20,1,0
2004,74.77103712333381,51.67068632960522,20,3,0
2005,74.88844032707945,52.01794753517658,13,0,0
2006,76.53759198370979,51.652516115906046,37,10,1
2007,75.22279262851117,51.4560823171128,16,3,1
2008,76.02172590878321,52.24206232294117,23,5,1
2009,75.72335568241816,51.86455702850176,25,7,2
2010,72.62810021154466,50.96486313515121,14,2,1
2011,73.57156061250646,50.920572104092045,8,4,0
2012,75.34264607861179,52.45025349462452,25,3,1
2013,74.09876266007483,52.73966594568613,10,1,0
2014,76.97604216019502,55.79083496412266,24,4,0
2015,75.95217221135032,55.77999965667589,19,8,0
2016,75.30789336729805,54.948335205043605,15,4,0
2017,75.01395352974168,55.095398212156745,13,5,0
2018,74.44746960572259,54.93225510223315,11,2,1
2019,72.35271519330581,53.55902096362464,8,0,0
