years,TMAX,TMIN,t90,t95,t100
1947,48.55650319829425,33.78038379530917,0,0,0
1948,66.50396825396824,46.104605776736925,40,7,0
1949,67.02061317677754,47.48858447488588,30,3,0
1950,64.60071754729285,45.4917808219178,7,0,0
1951,64.60943248532288,45.4648401826484,23,3,0
1952,68.5051392141556,47.23672911787666,66,26,10
1953,70.03536855838227,48.38750163078927,78,37,12
1954,69.79642857142858,48.59934768427918,79,51,19
1955,68.20908349641225,47.63882909328115,57,20,0
1956,68.20264116575589,47.367629456154056,46,11,1
1957,66.32182648401826,47.64345727332028,37,7,0
1958,64.55757990867572,45.52506849315068,26,1,0
1959,66.67776255707761,47.10287671232876,40,5,0
1960,64.41712204007285,45.911930783242276,31,11,0
1961,65.21488584474886,45.567305936073055,22,1,0
1962,65.50894977168944,45.56365296803655,22,3,2
1963,66.55013698630135,44.98383561643836,36,7,1
1964,67.39690346083786,46.70018214936247,45,8,1
1965,67.39579908675805,46.42849315068493,22,5,1
1966,65.20812785388127,44.74232876712327,32,11,5
1967,65.70100456621002,44.9709589041096,18,0,0
1968,65.50277777777774,44.877393963049705,33,6,0
1969,64.99908675799091,44.82538812785388,37,2,0
1970,66.31876712328764,45.48872146118722,32,10,1
1971,67.69219178082189,45.4219178082192,41,8,0
1972,65.16306921675768,44.66639344262295,40,6,0
1973,66.33470319634704,46.91296803652966,29,2,0
1974,65.73315068493153,44.665205479452084,28,10,0
1975,65.83260273972603,45.52538812785385,38,3,0
1976,66.1817395264117,42.926502732240436,29,10,0
1977,65.80671232876709,45.24091324200914,32,9,0
1978,63.56949771689498,42.82278538812783,40,4,0
1979,63.81027397260275,41.649086757990865,26,4,0
1980,66.81425318761384,44.89116575591985,63,37,13
1981,66.11757990867576,44.73881278538812,15,3,0
1982,65.00616438356164,44.00570776255707,13,3,0
1983,65.17237442922375,44.78561643835614,64,30,6
1984,65.77140255009105,44.63934426229508,41,9,2
1985,64.63356164383559,43.86689497716896,24,1,0
1986,67.2041095890411,46.24109589041096,29,9,0
1987,68.13356164383562,45.8438812785388,52,14,2
1988,67.19918032786883,43.96161202185796,53,27,7
1989,65.13940639269406,43.73082191780821,31,5,0
1990,68.29547945205483,46.8860273972603,37,13,1
1991,67.49077625570773,47.12461187214612,47,9,1
1992,65.808014571949,45.13201275045535,12,0,0
1993,63.450958904109605,44.87456621004565,31,3,0
1994,66.16506849315071,45.522602739726004,31,1,0
1995,65.42780821917812,45.091232876712354,36,12,0
1996,64.04795081967215,43.30068306010925,28,1,0
1997,63.79073059360722,44.776712328767154,27,5,0
1998,67.21082191780819,49.16438356164384,24,7,0
1999,67.6327853881279,46.95566210045663,38,11,1
2000,65.37873406193081,45.5596994535519,23,2,0
2001,67.08342465753424,46.843972602739726,31,4,0
2002,66.65589041095895,46.98429223744294,43,9,0
2003,65.45246575342465,45.958767123287686,27,5,0
2004,65.79316939890715,46.81999089253189,9,0,0
2005,66.98721461187218,47.48666666666667,46,13,1
2006,68.17132420091319,47.77812785388133,45,14,0
2007,68.01168949771686,47.7993607305936,42,15,2
2008,64.55678506375229,44.939116575592024,17,2,0
2009,64.91584474885845,45.95589041095893,16,3,0
2010,66.7477625570776,46.86712328767121,46,8,1
2011,66.9978538812786,47.6289497716895,51,25,4
2012,70.55273224043715,48.98260473588338,63,31,17
2013,64.98150684931514,45.46561643835618,34,8,1
2014,64.23940639269406,44.699863013698625,21,6,0
2015,67.19401826484022,48.006849315068514,27,3,0
2016,68.66639344262289,49.4269581056466,50,6,0
2017,69.57771689497723,48.86849315068487,42,9,2
2018,66.50196347031961,47.33570776255708,56,5,0
