years,TMAX,TMIN,t90,t95,t100
1947,64.61144278606965,37.37313432835821,0,0,0
1948,81.22239569780551,52.08959471766852,144,82,43
1949,81.13800747198002,52.436886674968804,135,91,27
1950,83.44469074304693,51.90407361284075,121,58,16
1951,80.54588349245886,51.098649508786494,124,95,37
1952,80.36118562675935,50.66529226693162,153,85,36
1953,81.5908772658088,49.80994811124946,127,89,35
1954,82.58647848346475,51.58413864674136,130,59,20
1955,81.03066971080672,48.8697108066971,119,64,29
1956,83.10853825136604,50.131094414086185,151,111,50
1957,81.17802130898022,52.27132854968473,124,72,36
1958,80.4525766470972,51.959246575342476,125,80,24
1959,81.870502283105,51.00980213089806,122,69,24
1960,81.232088646023,49.56349423193684,135,93,35
1961,80.72028158295281,50.28146879756469,121,60,26
1962,81.48657257506565,50.73921405839216,130,80,24
1963,82.91507254541504,51.78398436418982,154,88,39
1964,81.14264355104517,49.50909771012234,134,88,31
1965,80.4297606198976,49.47399246871847,132,69,17
1966,80.67045108620451,49.90910336239105,123,65,25
1967,81.26831880448314,50.37666251556663,117,59,10
1968,80.40338218248061,50.37754595131643,117,56,20
1969,80.93618481974643,51.34792444997928,128,88,26
1970,80.73127853881277,49.88916562889161,121,73,32
1971,79.5876103500761,48.57295696692953,95,66,23
1972,80.9579842137219,50.005461721035545,106,52,23
1973,79.47925418569255,49.19625570776258,117,73,25
1974,79.9150684931507,50.088318112633225,112,60,25
1975,79.29668949771688,48.336904761904755,115,54,13
1976,79.88865578107385,49.87739071038251,103,60,17
1977,80.6099315068493,51.37470645792565,117,74,26
1978,79.67744618395304,51.14535225048924,134,75,33
1979,79.7027397260274,49.213160469667315,122,80,32
1980,81.03425058548011,50.818989071038274,124,84,34
1981,81.12739726027395,51.85944227005871,116,70,26
1982,78.91324200913246,50.06436834094367,113,62,12
1983,79.05264187866919,50.93986192650578,108,73,13
1984,78.94898733628236,49.91408079625297,111,47,6
1985,79.57740813220266,50.56504131332903,103,65,36
1986,82.35682757121116,53.309822787562524,128,87,31
1987,81.82529354207436,52.82974559686889,136,87,43
1988,82.97804449648713,52.933157689305226,145,103,42
1989,84.5089530332681,53.277886497064586,167,122,46
1990,81.19088932376604,52.86786257882146,113,61,24
1991,81.34634159599914,52.702669058490976,145,95,33
1992,81.8033762685402,53.43808548009369,145,102,34
1993,82.18856816699278,53.879533594259605,134,98,41
1994,81.16846705805612,53.43689171559035,133,82,34
1995,80.18648184387915,52.424943465970884,103,65,28
1996,81.13064554601442,52.566947480267146,132,65,23
1997,79.31890084801044,51.8618667101543,124,66,20
1998,78.73817351598176,50.585417482061345,110,63,19
1999,81.06366818873668,51.08351489454225,108,36,5
2000,80.64232045277129,52.003254835631864,128,71,22
2001,80.09486004862718,52.16525825772399,130,56,12
2002,80.31706793967064,51.59929984779298,107,73,32
2003,81.21792306627927,53.186009409160114,137,90,33
2004,78.70556797483027,52.15129298448976,111,56,10
2005,80.07534246575345,53.17426733084265,108,64,33
2006,79.95556039850561,52.231095198560936,99,50,16
2007,80.16738384902769,52.676933933646275,111,66,24
2008,79.3658221559861,51.316360696073765,98,49,13
2009,80.76671938411666,52.13778009661574,129,69,22
2010,79.85892814947607,51.625324082310414,117,77,27
2011,80.65723303757751,51.22891848884389,132,89,28
2012,82.1834919406641,52.37585355218551,123,84,30
2013,79.80769188193841,51.59398026630904,113,65,24
2014,80.99420655448053,52.756373002948365,101,57,14
2015,80.07142446594503,52.85922906621537,113,60,17
2016,81.22183520790081,52.315432275678205,100,60,23
2017,82.6056011112176,53.24545167161606,130,67,26
2018,79.34353582490563,51.491851299385566,105,61,11
