years,TMAX,TMIN,t90,t95,t100
1947,43.36940298507463,27.097014925373134,0,0,0
1948,61.551457194899804,35.728369763205826,23,2,0
1949,62.53264840182647,35.418264840182665,29,15,2
1950,62.35251141552511,37.2824200913242,33,14,1
1951,62.057031963470294,36.08260273972605,33,15,3
1952,62.79918032786884,36.288069216757734,34,3,0
1953,64.16260273972603,38.58771689497718,37,12,2
1954,63.89000000000001,37.12287671232876,41,7,0
1955,57.23374429223742,34.60164383561644,25,2,0
1956,59.00109289617484,35.91056466302367,12,3,0
1957,59.1791324200913,36.45273972602741,14,0,0
1958,62.45826484018268,39.19607305936075,23,3,0
1959,61.296803652967995,36.73278538812784,31,12,1
1960,60.739435336976335,37.10651183970853,32,13,1
1961,61.52205479452054,38.28397260273971,44,14,2
1962,59.882465753424725,36.948904109589044,12,3,0
1963,60.88315068493152,38.63479452054795,15,1,0
1964,57.886657559198525,35.2493169398907,16,0,0
1965,60.36863013698632,37.64182648401828,12,1,0
1966,61.90009132420094,37.88365296803655,16,2,0
1967,61.476347031963456,38.37109589041093,38,7,0
1968,60.565755919854276,37.39949908925318,31,10,1
1969,60.67689497716891,37.021141552511445,23,3,0
1970,59.77940639269413,37.17420091324204,25,2,0
1971,61.80890410958903,37.987899543378994,47,22,2
1972,61.77322404371585,37.814207650273225,30,9,0
1973,63.46972602739724,39.47904109589044,40,14,1
1974,62.61109589041093,38.03534246575343,42,14,2
1975,60.2287671232877,37.39904109589043,26,13,1
1976,61.641165755919864,36.07131147540984,26,5,0
1977,62.23835616438356,37.173561643835605,43,15,0
1978,62.15808219178077,37.26876712328768,29,13,2
1979,62.490228310502275,36.63360730593608,36,11,1
1980,62.485063752276865,37.88834244080142,19,4,1
1981,63.80575342465757,38.4824657534247,40,13,1
1982,60.22858447488587,36.624109589041076,30,4,0
1983,61.98835616438355,39.36547945205478,31,9,3
1984,59.12964480874321,36.862021857923516,39,8,1
1985,58.636438356164355,33.65278538812786,42,15,2
1986,63.88689497716893,39.021643835616445,52,16,1
1987,65.70968036529683,39.0037899543379,39,13,0
1988,64.53169398907102,37.764298724954486,51,26,4
1989,61.89223744292241,36.92566210045662,37,18,3
1990,63.41780821917809,37.76392694063928,50,23,9
1991,62.303652968036566,37.34566210045663,48,14,1
1992,65.19904371584695,39.57367941712203,39,18,6
1993,59.789908675799076,35.93397260273972,13,1,0
1994,64.04543378995429,38.56214611872147,53,25,4
1995,63.02155251141557,39.02493150684931,29,4,0
1996,62.80428051001824,39.02267759562842,42,15,2
1997,63.20433789954337,39.8678082191781,27,6,0
1998,63.071141552511435,40.902739726027406,47,24,3
1999,63.182694063926974,39.15529680365298,40,11,0
2000,60.541725214676056,37.95829430132707,25,7,0
2001,61.76187214611877,38.56831050228312,29,10,2
2002,60.99264840182653,38.40273972602738,25,9,3
2003,63.233698630136935,40.638630136986315,37,19,4
2004,61.48160291438981,39.5691712204007,30,11,0
2005,61.42296803652974,38.66497716894976,35,14,1
2006,62.047488584474905,39.5609132420091,39,15,2
2007,62.94305936073061,39.464703196347045,49,18,3
2008,60.51716757741344,37.62103825136613,32,10,0
2009,60.47118721461185,38.64954337899543,27,8,0
2010,60.0527397260274,39.07109589041091,16,4,0
2011,59.28808219178084,37.78205479452056,21,3,0
2012,62.37955373406201,40.02149362477234,35,10,3
2013,59.31529680365298,37.771689497716906,27,6,1
2014,60.979223744292234,40.51917808219178,23,2,0
2015,62.25342465753424,41.53310502283105,19,8,1
2016,61.12363387978142,40.02755009107468,16,1,0
2017,59.73858447488584,39.4837899543379,30,4,0
2018,60.74429223744293,39.69041095890412,26,3,1
