years,TMAX,TMIN,t90,t95,t100
1947,40.75953565505806,28.418739635157554,0,0,0
1948,58.26841916432081,39.838861290500624,7,4,0
1949,60.45885429638856,41.875940224159365,18,2,0
1950,56.949107513491086,38.70388819703886,2,0,0
1951,57.46361145703612,39.456070291960714,2,0,0
1952,59.624720088654506,41.18459595959598,23,5,0
1953,60.59229939010758,42.172489382763345,15,7,0
1954,58.89658971165815,40.848615767793845,10,2,0
1955,60.07773477663884,41.60044320975828,24,4,0
1956,57.84135204504055,40.344196058950175,5,0,0
1957,57.67359900373602,40.41574097135744,5,0,0
1958,57.288621834786206,39.373798256537945,1,0,0
1959,58.433022000830235,40.95740971357407,11,0,0
1960,57.13839211790029,39.77262377877131,2,0,0
1961,58.13773349937732,40.611544209215445,4,0,0
1962,57.496127023661266,39.44297218762975,4,0,0
1963,57.7898671647987,38.04294728102947,7,0,0
1964,59.080115361262926,39.93022299497706,16,0,0
1965,57.14539643005398,39.440900788709016,6,1,0
1966,57.297217166395264,39.22913593256059,10,1,0
1967,56.842500878117356,39.47825781524414,3,0,0
1968,58.07478632478628,40.28821633739665,5,0,0
1969,57.41596097965957,40.14466583644667,3,0,0
1970,57.937838660578365,40.54238273142381,3,0,0
1971,59.06963885429639,40.78845440708455,8,2,0
1972,56.02414307004472,39.59699453551915,5,0,0
1973,59.31198007471983,42.8030884184309,8,1,0
1974,57.662440846824445,40.2683686176837,9,0,0
1975,57.983437110834416,41.567222914072225,2,0,0
1976,57.3129657228018,38.47242921013417,4,0,0
1977,57.747272727272794,40.150236612702386,7,2,0
1978,56.14946035699459,37.87596513075967,6,1,0
1979,55.976496471564936,38.640614362806176,0,0,0
1980,56.25212369597616,38.9805389965226,2,0,0
1981,56.97601494396019,40.08203819012039,4,0,0
1982,57.38217102532174,39.74170195101703,2,0,0
1983,57.99238273142384,40.85866749688665,10,0,0
1984,57.58752276867035,40.013408676933295,4,0,0
1985,57.55704441677044,40.3352677459527,1,0,0
1986,58.13922789539232,41.425919468659174,4,0,0
1987,59.87820672478204,42.60906323509064,16,0,0
1988,59.05438676381303,40.40661671358393,38,11,1
1989,56.82596928185969,39.4467787463678,2,0,0
1990,59.54346201743465,42.39671647986717,2,1,0
1991,60.151340805313424,42.96414694894146,10,1,0
1992,56.38063484784795,40.41395576190663,1,0,0
1993,56.93020712924821,40.786790028844834,5,0,0
1994,58.33440942619026,40.3650365616119,5,0,0
1995,57.90950761567194,40.90211386786728,13,2,0
1996,56.69726744111988,39.68166532920634,6,0,0
1997,57.091798384264166,40.583596768528295,5,0,0
1998,62.112061910692034,44.9182146620503,7,1,0
1999,60.55293792965025,41.99253600280998,17,1,0
2000,58.2237028113053,40.655632118337046,1,0,0
2001,59.782047695790624,42.34128793983345,8,2,0
2002,59.30633925435288,41.458273621355815,19,2,0
2003,57.12045574288722,39.19523608811279,2,0,0
2004,57.82486143113616,40.43996223342769,0,0,0
2005,59.26181643505757,40.53791948815091,14,0,0
2006,60.128393120526276,42.42744913081789,10,2,0
2007,59.613428565369915,40.746391351060964,10,0,0
2008,57.94963919059138,39.12617195209978,3,0,0
2009,57.529733637747356,39.03637037463387,1,0,0
2010,59.8293778059169,42.02675415371628,9,0,0
2011,58.623486307765084,41.488654950564715,16,2,0
2012,62.186161081008,43.064161251932475,21,5,0
2013,57.61430960055251,40.3144083924402,4,0,0
2014,55.88738496663147,37.6189946355015,1,0,0
2015,58.85429411912291,40.25099641226353,1,0,0
2016,60.8720308152685,42.46616575591986,10,0,0
2017,59.868065154024116,41.88875219529328,3,0,0
2018,58.20540425328096,41.066477164388125,10,0,0
