years,TMAX,TMIN,t90,t95,t100
1947,47.20963364993215,30.69787426503844,0,0,0
1948,62.30358503063423,42.8181018890035,12,4,2
1949,65.5430427563304,45.45303445413034,28,10,2
1950,61.61264990717049,43.292817000351235,6,0,0
1951,63.10296552762309,44.368026494053865,4,0,0
1952,63.347219720170514,45.05640124902424,20,3,0
1953,64.92105976215568,45.86966731898241,25,10,2
1954,62.995107632093955,44.11970495258165,12,2,0
1955,62.778714436248684,44.420397410808356,27,11,1
1956,61.46140335074764,43.821263436017574,6,2,0
1957,63.295453861207235,44.783004666566256,14,3,1
1958,59.93656480505792,43.134336895980745,3,0,0
1959,63.31093632395006,45.16251693511967,16,0,0
1960,61.682289477371405,43.61678326227504,2,0,0
1961,62.201270236612686,44.35771551127714,14,0,0
1962,61.25008302200085,42.58015774180161,6,1,0
1963,61.977762557077654,42.521461187214584,14,7,0
1964,63.06807832422581,43.66058122205663,14,1,0
1965,62.36537567455376,43.53785803237858,10,0,0
1966,62.808302200082984,44.03445413034455,25,5,2
1967,61.25011830635116,43.09011761450119,4,0,0
1968,62.3407007230778,43.798629740023195,16,4,0
1969,61.94459079733047,44.38945506548246,10,0,0
1970,62.02238925458099,44.356105082132494,13,0,0
1971,62.4546125107769,44.97419612351117,9,0,0
1972,61.45251697300876,43.77478441412867,13,0,0
1973,64.3643659992975,46.26444103841366,20,4,0
1974,63.05982405722136,44.56257783312579,11,0,0
1975,63.05056039850567,45.4874221668742,7,2,0
1976,62.066331346249314,43.11256416625273,9,0,0
1977,62.31944651999449,43.97398920713988,12,4,0
1978,60.95315068493159,42.646712328767144,4,1,0
1979,62.1068423965685,44.30140722291404,8,0,0
1980,62.401399238284455,43.62215258936571,25,5,1
1981,62.07545039435448,43.446691573266946,9,2,0
1982,62.251376781513734,43.775497440154986,10,2,0
1983,63.51691158156908,44.79887920298879,37,7,0
1984,62.424711596842776,44.14978749241043,10,3,0
1985,62.66890410958899,44.119490106544895,5,1,0
1986,62.782480282274776,43.97405562474055,6,2,0
1987,62.985504358654985,44.27437387574375,19,1,0
1988,62.73129105260246,43.578042722305014,36,8,0
1989,61.56293621142934,43.58865089248652,10,0,0
1990,65.26427266797128,45.94959773863885,6,1,0
1991,65.29701743462017,46.060504358655045,22,5,0
1992,61.70728873433787,44.070453855494854,5,0,0
1993,62.94887781928878,44.29136502006361,20,5,0
1994,62.78421475024214,43.78804898298046,11,1,0
1995,62.700009685900106,44.297340528573415,20,1,0
1996,60.87432935916539,43.54668405365123,2,0,0
1997,62.33203957382037,43.79946865919465,14,3,0
1998,65.22523384530234,47.36153867441539,9,0,0
1999,64.57797841427983,45.48817628338179,25,10,1
2000,61.64009260320733,43.45178773867297,7,0,0
2001,64.37378753666435,44.88066759724295,15,5,1
2002,64.61649606101658,45.7349816849817,31,10,0
2003,61.22145845022558,43.88077310817039,10,0,0
2004,62.639073108130475,45.35277294805983,3,0,0
2005,63.8805202712052,46.04316590563168,27,9,0
2006,65.11950186799506,47.18485678704855,15,5,0
2007,63.40394562058947,45.268470319634666,14,1,0
2008,63.668849206349186,44.93470704310868,13,4,0
2009,62.09747227658189,44.714215046749324,9,0,0
2010,64.71708523592085,47.220509893455095,40,7,2
2011,64.60151663405092,47.78226788432266,21,5,2
2012,65.40404089686875,48.52962637696243,24,8,1
2013,62.82712002609258,46.1221135029354,15,3,0
2014,62.07984344422698,44.6650032615786,7,0,0
2015,64.72243966079586,45.893607305936065,25,3,0
2016,65.54884205048135,46.998113453031486,25,6,0
2017,64.08780821917811,47.06182648401828,14,1,0
2018,63.269041095890415,47.002739726027364,27,4,0
