years,TMAX,TMIN,t90,t95,t100
1947,46.492537313432834,33.798507462686565,0,0,0
1948,61.93897996357016,42.59995446265938,5,2,0
1949,63.83273972602744,44.22054794520547,14,1,0
1950,60.23863013698627,41.79986301369861,2,0,0
1951,61.79726027397261,42.59780821917808,6,0,0
1952,62.43324225865218,43.92040072859743,23,2,0
1953,64.0904109589041,44.866666666666696,20,5,0
1954,62.32602739726031,43.60273972602736,9,1,0
1955,62.72237442922373,43.40730593607306,19,1,0
1956,61.04371584699451,43.10382513661201,3,0,0
1957,62.16666666666664,43.64566210045663,13,0,0
1958,59.04200913242008,41.649315068493145,1,0,0
1959,63.116894977168954,43.350228310502295,14,0,0
1960,60.03597449908926,41.77049180327872,0,0,0
1961,61.171232876712345,42.136986301369866,6,0,0
1962,60.79726027397258,40.99360730593609,9,0,0
1963,60.36164383561645,39.33789954337901,8,0,0
1964,62.37295081967212,41.86429872495442,6,0,0
1965,61.225570776255736,41.75936073059361,5,0,0
1966,60.68424657534246,41.534931506849304,16,3,0
1967,60.92465753424661,41.14611872146116,5,0,0
1968,60.62795992714026,40.12613843351549,10,0,0
1969,60.594748858447524,40.41210045662098,8,0,0
1970,61.54977168949771,42.09954337899539,2,0,0
1971,61.64132420091321,41.752739726027386,3,1,0
1972,60.37545537340622,41.272540983606554,4,0,0
1973,62.54611872146116,44.27990867579909,12,0,0
1974,61.53082191780824,42.31917808219178,2,0,0
1975,61.203196347032026,42.963470319634695,4,1,0
1976,59.39162112932606,39.40391621129325,0,0,0
1977,60.31849315068496,41.13675799086758,7,0,0
1978,59.310182648401785,41.490273972602765,5,0,0
1979,59.456164383561664,40.39223744292238,0,0,0
1980,59.18715846994535,38.93032786885246,6,2,0
1981,59.510958904109586,38.75753424657534,1,0,0
1982,61.05205479452055,39.65890410958904,0,0,0
1983,60.50684931506849,40.62739726027397,6,0,0
1984,60.60382513661202,39.91120218579235,1,0,0
1985,60.864383561643834,40.016438356164386,3,0,0
1986,60.87808219178082,41.6972602739726,2,0,0
1987,62.17123287671236,42.17625570776257,8,0,0
1988,61.69353369763206,39.480418943533714,35,6,1
1989,59.903196347031944,40.21917808219177,5,0,0
1990,63.314611872146116,43.16849315068494,0,0,0
1991,64.53789954337898,44.015981735159826,19,0,0
1992,60.741803278688536,42.58378870673952,0,0,0
1993,61.737442922374434,43.34931506849315,19,1,0
1994,62.06118721461183,42.222602739726014,12,1,0
1995,62.3557077625571,42.75707762557077,23,8,1
1996,60.332877959927146,41.72905282331511,3,0,0
1997,60.63515981735159,42.355707762557095,7,0,0
1998,64.71278538812788,46.32876712328768,7,0,0
1999,63.939497716894984,43.67990867579908,23,2,0
2000,61.288023679417115,42.8488160291439,0,0,0
2001,62.90776255707763,43.96803652968036,6,0,0
2002,62.515753424657525,43.628082191780834,20,0,0
2003,59.857762557077635,42.213242009132465,0,0,0
2004,60.75182149362477,43.18010018214936,0,0,0
2005,61.824657534246576,42.87054794520547,15,0,0
2006,62.127168949771686,43.59360730593607,7,0,0
2007,62.39086757990867,42.6945205479452,13,0,0
2008,61.00409836065574,41.45355191256831,2,0,0
2009,60.53447488584476,41.7920091324201,0,0,0
2010,61.81255707762557,42.86232876712329,13,0,0
2011,62.22183626875408,44.21323222439661,14,2,0
2012,64.6763054037644,45.239065617139374,20,3,0
2013,61.1247336377473,42.445308762774516,6,0,0
2014,59.959507501630796,40.22967492933247,0,0,0
2015,62.59056968906289,42.57030876277454,4,0,0
2016,64.02325114927568,43.688275219012915,10,0,0
2017,63.33250706675368,43.60552293976949,2,0,0
2018,61.564579256360076,43.63392041748204,12,0,0
