years,TMAX,TMIN,t90,t95,t100
1947,68.28650544271127,43.7021565106797,0,0,0
1948,73.03620940397325,48.55280112227914,11,2,0
1949,72.47886999837569,49.069035049723,16,4,1
1950,73.22073358446202,50.44399530487381,10,2,1
1951,72.76920708832562,50.078597856382274,16,1,0
1952,72.27149466614007,49.58474348669467,14,0,0
1953,74.7392862170587,50.04695065605427,18,5,1
1954,73.87724129751525,51.45513668979421,16,1,0
1955,72.49798265901367,50.42319356922817,16,8,4
1956,74.1789543568851,50.64700068087459,21,4,0
1957,73.43116850277195,51.81373538209594,19,5,1
1958,75.9717515543329,52.766373951012696,29,8,2
1959,76.20093075153639,53.87215481626437,16,4,1
1960,74.7133020392511,51.94288453373873,20,5,0
1961,74.23874240028319,52.141147212768516,11,4,2
1962,72.48144467644828,51.068636129551834,6,0,0
1963,73.4777705679725,52.33133942161338,12,7,4
1964,72.57581196508892,51.01710277246743,11,0,0
1965,72.83283948522937,51.65022736804412,17,6,0
1966,74.35724336862839,52.583859755149334,13,2,0
1967,74.37694304253787,52.8725812634595,21,6,0
1968,74.74573815841174,52.418537504159005,17,4,0
1969,73.77089170683898,52.874178470955776,11,2,0
1970,74.57509084119108,52.15989304277351,17,3,1
1971,73.57888369358801,51.257416262587704,32,9,2
1972,74.78307260973605,52.152011009321804,18,6,0
1973,73.31823999462797,51.446768926748796,16,5,1
1974,73.92082681017615,51.96540318867273,12,1,0
1975,72.66145629484669,50.54180528375735,8,2,0
1976,75.4324079495186,52.58633554514705,19,7,0
1977,74.83802724672584,52.68440902704599,9,1,0
1978,74.5568997440915,52.86376674695168,18,7,3
1979,75.4662429492345,52.23893039407544,31,13,4
1980,75.87897361130246,52.9504808207436,21,3,0
1981,76.69594576186638,54.05698649322746,30,9,3
1982,73.75620419400634,52.558129964314496,19,7,1
1983,74.70436487028957,54.51099440513827,31,7,1
1984,76.62757611241219,54.52199453551914,26,10,2
1985,74.87743150684929,52.73608447488583,26,12,2
1986,74.98416193663977,53.486368881588476,4,1,0
1987,72.85087096693266,52.18309247829796,9,3,2
1988,74.77822501951601,53.56295912648366,10,5,1
1989,74.99733011012627,53.16549144315258,10,3,0
1990,74.94087154496508,53.239703835872234,18,3,1
1991,73.32614670068945,53.01416218999019,6,1,0
1992,74.65173175827707,54.519715436265614,18,1,0
1993,74.54270110880205,53.72160429949436,11,0,0
1994,74.25304621343851,52.72885550230667,16,3,0
1995,73.65012246938501,53.40066420721791,20,2,0
1996,74.65513261971542,53.758575129269914,24,4,0
1997,74.96818061586909,54.533735250465774,29,2,0
1998,72.18998113141353,52.34008722471142,26,11,1
1999,73.65920366150405,52.358281133656625,14,2,0
2000,74.04881005972048,53.59107762008405,17,3,0
2001,72.69465292314997,52.93723765606783,6,0,0
2002,73.23031700497019,52.73846889080608,8,2,1
2003,74.97805409308702,54.2446095180463,28,3,0
2004,74.16135029886122,53.64363411353115,18,4,0
2005,73.94541850679066,53.68141484374077,17,2,0
2006,74.94122452140662,53.66880955315857,39,6,1
2007,74.87053178712782,53.422764521682396,26,7,2
2008,75.62784352505567,54.00380220620612,30,6,1
2009,75.02386049091898,54.005333912306256,30,11,0
2010,73.01932603393597,52.790310084958335,22,8,2
2011,73.61458575610015,52.309847086828846,17,6,0
2012,75.63867631420537,54.29372217285405,39,10,0
2013,75.59978988502164,54.183897276421476,23,5,0
2014,77.76283749841471,56.38094231546313,34,8,0
2015,76.77249683785209,56.28623752823005,27,9,0
2016,75.58539567468189,55.57232865450973,27,4,1
2017,76.04942491246217,56.20991893828453,28,11,1
2018,75.40966814374946,55.957839785260646,19,6,2
